ptprf,ctnna1,znf207,psmd4,dctn2,acta2,atp6v1f,gnpat,vwf,plod3,polr2g,gmfb,nol7,fam20b,ap3b1,hsph1,tfrc,parp1,dap3,thy1,kpnb1,lsm2,hgs,creb3l2,cap2,sae1,c8orf33,parp12,ptcd1,lage3,slc41a3,chst4,plvap
6.552,6.281,6.448,8.323,8.028,7.667,7.267,7.97,4.238,6.866,6.81,3.752,8.143,5.49,4.08,7.049,6.99,6.283,7.57,3.636,8.166,5.341,6.787,6.806,3.73,6.0,5.51,5.245,4.845,5.333,4.953,4.395,4.104
6.585,7.793,8.849,8.606,8.308,9.278,8.334,8.849,7.598,8.074,7.444,5.26,8.35,5.772,4.134,8.779,8.597,7.345,8.276,4.951,7.739,5.163,7.298,7.528,5.85,6.34,7.091,6.893,5.273,5.73,5.52,4.066,7.663
6.667,6.691,7.574,8.01,7.735,7.942,7.667,8.254,4.481,7.35,7.063,4.454,8.193,5.401,4.163,7.662,7.619,6.125,7.643,3.544,8.058,5.219,6.756,7.147,4.182,6.029,4.893,6.322,4.958,5.855,5.196,6.105,4.607
6.99,5.972,6.828,8.044,7.942,8.395,7.477,8.301,4.259,7.746,6.371,3.79,7.821,4.916,4.423,7.291,7.83,6.272,7.266,3.778,8.061,4.766,6.87,7.489,4.666,5.934,4.624,6.371,5.71,6.045,5.09,4.777,4.501
6.601,6.479,6.946,8.082,7.852,9.724,7.489,8.081,4.522,7.089,6.77,4.276,8.163,5.414,3.997,7.756,7.922,6.043,7.644,4.039,8.344,5.125,6.654,7.45,4.718,5.9,5.209,5.513,5.144,5.463,5.127,5.138,4.856
7.31,7.007,8.378,10.05,8.592,9.846,8.503,9.024,6.403,7.491,7.768,7.178,9.716,7.106,4.57,7.671,9.205,7.026,9.109,4.568,8.982,6.738,8.548,7.489,7.515,8.342,7.201,8.21,5.998,7.913,5.998,3.719,6.316
6.164,6.422,6.618,8.247,7.851,8.825,7.608,8.48,4.953,7.075,6.967,4.157,7.734,5.392,4.175,7.494,8.238,6.123,7.472,3.767,8.305,5.714,7.359,7.165,4.415,6.427,5.181,7.276,5.489,4.857,4.578,6.64,5.316
6.28,6.738,7.144,8.361,8.284,8.405,7.291,8.627,4.114,7.83,7.083,3.906,7.694,4.88,4.139,7.212,8.031,5.729,7.633,4.113,8.193,4.903,6.478,7.37,4.392,5.679,5.275,6.151,4.808,5.831,5.204,5.268,4.193
6.816,7.517,7.667,9.536,8.873,9.475,8.827,9.247,4.19,8.139,7.393,5.725,8.684,6.491,4.516,8.765,9.153,7.137,8.942,4.838,8.418,4.498,7.245,7.814,4.162,7.78,5.972,5.896,5.938,6.748,5.291,4.029,6.503
6.752,6.427,6.828,8.427,8.191,10.195,7.964,8.421,4.987,7.68,6.236,5.263,8.036,5.605,4.071,7.337,7.484,6.047,7.26,3.561,8.44,4.62,7.008,7.226,5.286,6.273,4.985,7.407,5.693,5.696,5.045,5.222,4.491
6.474,7.155,6.942,8.284,8.126,9.001,8.055,8.54,5.009,7.111,7.123,5.085,8.249,5.488,4.436,8.018,7.941,6.224,7.778,4.295,8.405,5.319,7.022,7.576,4.764,7.156,4.727,6.99,5.58,5.262,5.455,6.089,4.38
6.818,6.864,6.791,8.508,7.908,8.011,7.672,8.356,4.825,7.076,6.698,3.937,7.897,5.156,4.221,7.745,7.742,5.814,7.568,3.946,7.85,4.901,6.854,6.411,4.134,6.487,5.578,5.564,5.715,5.796,5.29,5.302,4.123
5.436,5.567,5.845,8.54,8.425,8.666,7.394,8.404,5.436,6.809,6.356,3.914,7.868,4.317,3.782,6.838,9.388,6.072,7.797,4.254,7.772,5.353,5.373,6.425,4.139,6.589,4.532,6.387,5.282,4.905,5.071,5.324,4.361
6.025,7.61,7.689,8.847,8.452,8.605,7.666,9.589,5.382,8.459,7.748,6.446,8.697,6.015,4.032,8.513,9.062,7.329,8.775,4.437,9.063,5.494,7.197,8.35,6.576,7.864,6.193,7.451,6.013,7.038,5.403,4.099,5.999
6.951,7.3,8.157,9.945,9.074,11.061,8.795,9.253,6.812,8.959,7.338,5.11,8.883,5.853,4.7,9.603,8.667,7.26,8.706,6.279,9.283,6.319,8.071,7.844,4.981,8.538,6.203,8.919,5.679,7.832,5.308,3.854,6.651
