experiment,classifier,n_control,class_imbalance,alpha1,alpha2,method,auc_mean,mean_accuracy,auc_sd,hyp,expGanMulti
sim,svm,40,0.5,1,0,ExpandGAN,0.500071719495792,0.3577922077922078,0.0005458845912962679,"SVC(C=1, gamma=0.1)",0.25
sim,svm,40,0.5,1,0,GAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",
sim,svm,40,0.5,1,0,SMOTE,0.8674503882657464,0.8757142857142856,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,40,0.5,1,0,RO,0.8674503882657464,0.8757142857142856,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,40,0.5,1,0,ExpandGAN,0.5,0.35774891774891776,0.0,"SVC(C=1, gamma=0.1)",0.5
sim,svm,40,0.5,1,0,ExpandGAN,0.5000760771360426,0.3517171717171717,0.0004146719607048583,"SVC(C=1, gamma=0.1)",0.75
sim,svm,40,0.5,1,0,ExpandGAN,0.5001661350345561,0.361024531024531,0.0004793242389982642,"SVC(C=5, gamma=0.1)",1.0
sim,histgradboost,40,0.5,1,1,ExpandGAN,0.7203507973029112,0.7050649350649351,0.07053837513649716,"HistGradientBoostingClassifier(learning_rate=0.01, min_samples_leaf=10)",0.25
sim,histgradboost,40,0.5,1,1,GAN,0.6834203408836713,0.664083694083694,0.0676273153847915,"HistGradientBoostingClassifier(learning_rate=0.01, min_samples_leaf=10)",
sim,histgradboost,40,0.5,1,1,SMOTE,0.6479544147253379,0.6542857142857142,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=10)",
sim,histgradboost,40,0.5,1,1,RO,0.6972965199884958,0.7185714285714285,0.0,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=1)",
sim,histgradboost,40,0.5,1,1,ExpandGAN,0.6782478219061481,0.6593506493506494,0.08260685600866625,"HistGradientBoostingClassifier(learning_rate=0.001, min_samples_leaf=10)",0.5
sim,histgradboost,40,0.5,1,1,ExpandGAN,0.772359596831124,0.771082251082251,0.053262383651245485,HistGradientBoostingClassifier(min_samples_leaf=25),0.75
sim,histgradboost,40,0.5,1,1,ExpandGAN,0.7620301737536422,0.7611976911976911,0.051985851960206504,HistGradientBoostingClassifier(min_samples_leaf=50),1.0
sim,svm,40,0.5,1,1,ExpandGAN,0.500071719495792,0.3577922077922078,0.0005458845912962679,"SVC(C=1, gamma=0.1)",0.25
sim,svm,40,0.5,1,1,GAN,0.5,0.3485714285714286,0.0,"SVC(C=5, gamma=0.1)",
sim,svm,40,0.5,1,1,SMOTE,0.8674503882657464,0.8757142857142856,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,40,0.5,1,1,RO,0.8674503882657464,0.8757142857142856,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
